DEMO_age,DEMO_gender,DEMO_identity_indigenous,DEMO_identity_lgbtq,LONELY_ucla_loneliness_scale_score
NA,NA,NA,NA,6
42,NA,NA,NA,NA
NA,NA,NA,NA,NA
33,Woman,NA,Not Selected,NA
78,Man,NA,Not Selected,NA
52,Woman,Not Selected,Not Selected,5
NA,NA,NA,NA,4
NA,NA,NA,NA,4
83,Woman,NA,Not Selected,NA
30,Woman,Not Selected,Not Selected,NA
46,Man,Not Selected,Not Selected,6
59,Woman,NA,Not Selected,NA
28,Man,Not Selected,Not Selected,5
55,NA,NA,NA,NA
79,NA,NA,NA,NA
45,Woman,NA,Not Selected,NA
46,NA,NA,NA,NA
39,Man,NA,Not Selected,NA
39,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
23,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
44,Woman,NA,Not Selected,NA
19,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
26,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
37,Woman,Not Selected,Not Selected,8
NA,NA,NA,NA,NA
51,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
70,Woman,NA,Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
38,Woman,NA,Not Selected,NA
68,NA,NA,NA,NA
62,Woman,NA,Not Selected,NA
58,Woman,Not Selected,Not Selected,5
44,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
38,Woman,NA,Not Selected,NA
61,Woman,NA,Not Selected,NA
35,Woman,NA,Not Selected,NA
40,NA,NA,NA,NA
53,Woman,NA,Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
20,Woman,NA,Not Selected,NA
30,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
55,Woman,Not Selected,Not Selected,3
54,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
61,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
34,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
25,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
48,Woman,NA,Not Selected,NA
26,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
35,Man,NA,Not Selected,NA
27,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
52,NA,NA,NA,NA
32,Woman,NA,Not Selected,NA
68,Woman,NA,Not Selected,NA
34,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
32,Woman,NA,Not Selected,NA
57,Woman,NA,Not Selected,NA
73,Woman,NA,Not Selected,NA
20,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,4
NA,NA,NA,NA,6
36,NA,NA,NA,NA
28,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
42,Woman,NA,Not Selected,NA
63,Man,NA,Not Selected,NA
36,NA,NA,NA,NA
NA,NA,NA,NA,9
NA,NA,NA,NA,4
64,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,Not Selected,NA
31,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
48,NA,NA,NA,NA
50,Man,Not Selected,Not Selected,4
49,NA,NA,NA,NA
60,Woman,NA,Not Selected,NA
65,Non-binary,NA,Not Selected,NA
20,Woman,NA,Not Selected,NA
26,Man,NA,Not Selected,NA
65,Woman,Not Selected,Not Selected,3
49,Woman,Not Selected,Not Selected,4
24,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
56,Non-binary,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
36,Woman,NA,Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
64,Man,NA,Not Selected,NA
32,NA,NA,NA,NA
70,Woman,NA,Not Selected,NA
58,NA,NA,NA,NA
36,Man,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,5
39,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
39,Woman,Not Selected,Not Selected,NA
53,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
33,NA,NA,NA,NA
51,Man,NA,Not Selected,NA
49,Man,NA,Not Selected,NA
68,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
NA,NA,NA,NA,6
NA,NA,NA,NA,3
67,Woman,NA,Not Selected,NA
69,Woman,NA,Not Selected,NA
63,Woman,NA,Not Selected,NA
46,Woman,NA,Not Selected,NA
32,Man,Not Selected,Not Selected,5
63,NA,NA,NA,NA
34,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
68,Woman,NA,Not Selected,NA
31,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
43,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,5
73,Woman,Not Selected,Not Selected,6
37,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Man,Not Selected,Not Selected,NA
31,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
40,Woman,NA,Not Selected,NA
20,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
45,NA,NA,NA,NA
73,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,NA
NA,NA,NA,NA,5
34,Woman,NA,Not Selected,NA
63,Woman,Not Selected,Not Selected,NA
52,NA,NA,NA,NA
NA,NA,NA,NA,3
NA,NA,NA,NA,3
21,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
55,Woman,NA,Not Selected,NA
29,Woman,Not Selected,Not Selected,6
86,Man,NA,Not Selected,NA
62,NA,NA,NA,NA
26,NA,NA,NA,NA
66,Man,NA,Not Selected,NA
76,Woman,NA,Not Selected,NA
80,Woman,NA,Not Selected,NA
52,NA,NA,NA,NA
59,NA,NA,NA,NA
64,Woman,NA,Not Selected,NA
33,Non-binary,NA,Not Selected,NA
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
57,Woman,NA,Not Selected,NA
73,NA,NA,NA,NA
25,Woman,NA,Not Selected,NA
24,NA,NA,NA,NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
27,Woman,Not Selected,Not Selected,5
61,Woman,NA,Not Selected,NA
46,Woman,NA,Not Selected,NA
22,NA,NA,NA,NA
21,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
40,Woman,Not Selected,Not Selected,7
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
48,Woman,NA,Not Selected,NA
38,Man,Not Selected,Not Selected,9
66,Woman,NA,Not Selected,NA
26,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
77,NA,NA,NA,NA
28,Woman,NA,Not Selected,NA
49,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
53,Woman,Not Selected,Not Selected,NA
70,NA,NA,NA,NA
69,Woman,NA,Not Selected,NA
60,NA,NA,NA,NA
24,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
43,NA,NA,NA,NA
67,Woman,NA,Not Selected,NA
NA,NA,NA,NA,7
NA,NA,NA,NA,4
22,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
42,Woman,NA,Not Selected,NA
60,Man,Not Selected,Not Selected,9
40,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Woman,Not Selected,Not Selected,6
58,Woman,NA,Not Selected,NA
45,Woman,Not Selected,Not Selected,7
60,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
48,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
24,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Man,NA,Not Selected,NA
21,Woman,NA,Not Selected,NA
33,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
26,NA,NA,NA,NA
82,Woman,NA,Not Selected,NA
33,Man,NA,Not Selected,NA
42,NA,NA,NA,NA
18,NA,NA,NA,NA
28,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
33,Woman,NA,Not Selected,NA
NA,NA,NA,NA,4
NA,NA,NA,NA,3
57,Woman,Not Selected,Not Selected,3
39,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
60,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Woman,NA,Not Selected,NA
25,Woman,Not Selected,Not Selected,NA
40,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
44,Woman,Not Selected,Not Selected,NA
58,NA,NA,NA,NA
61,NA,NA,NA,NA
46,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
75,Woman,NA,Not Selected,NA
32,NA,NA,NA,NA
NA,NA,NA,NA,NA
39,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
75,Woman,NA,Not Selected,NA
71,Man,NA,Not Selected,NA
53,Woman,NA,Not Selected,NA
49,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
40,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
52,Woman,NA,Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
50,Woman,NA,Not Selected,NA
70,Woman,NA,Not Selected,NA
20,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
75,Woman,NA,Not Selected,NA
47,Woman,NA,Not Selected,NA
75,Woman,NA,Not Selected,NA
NA,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
55,Man,Not Selected,Not Selected,6
37,Woman,NA,Not Selected,NA
43,Presented but no response,NA,NA,NA
33,Woman,NA,Not Selected,NA
25,Man,Not Selected,Not Selected,6
23,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
29,Man,NA,Not Selected,NA
NA,NA,NA,NA,NA
33,Man,NA,Not Selected,NA
39,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
34,Presented but no response,NA,NA,NA
41,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
30,Woman,Not Selected,Not Selected,7
31,Woman,Not Selected,Not Selected,NA
23,NA,NA,NA,NA
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
63,Woman,Not Selected,Not Selected,NA
33,Man,NA,Not Selected,NA
45,Woman,NA,Not Selected,NA
30,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
60,Woman,Not Selected,Not Selected,9
41,Woman,NA,Not Selected,NA
28,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
NA,NA,NA,NA,NA
73,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
71,NA,NA,NA,NA
35,NA,NA,NA,NA
61,Man,NA,Not Selected,NA
24,Woman,Not Selected,Not Selected,6
21,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
70,Woman,NA,Not Selected,NA
66,Woman,NA,Not Selected,NA
20,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
56,Man,NA,Not Selected,NA
54,Woman,NA,Not Selected,NA
32,Woman,NA,Not Selected,NA
NA,Man,Not Selected,Not Selected,4
81,Woman,NA,Not Selected,NA
24,NA,NA,NA,NA
22,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
61,Woman,NA,Not Selected,NA
20,Man,NA,Not Selected,NA
29,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
25,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
NA,NA,NA,NA,NA
NA,NA,NA,NA,6
53,Woman,Not Selected,Not Selected,8
34,NA,NA,NA,NA
28,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
28,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
67,Woman,NA,Not Selected,NA
22,Woman,NA,Not Selected,NA
29,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
31,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
32,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,4
18,Woman,Not Selected,Not Selected,5
69,NA,NA,NA,NA
63,Woman,Not Selected,Not Selected,5
69,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
60,NA,NA,NA,NA
72,Woman,Not Selected,Not Selected,3
82,Woman,NA,Not Selected,NA
48,Man,Not Selected,Not Selected,6
NA,NA,NA,NA,6
37,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,6
68,Woman,NA,Not Selected,NA
26,Woman,Not Selected,Not Selected,5
71,Woman,NA,Not Selected,NA
62,Woman,NA,Not Selected,NA
28,Woman,Not Selected,Not Selected,7
36,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,NA,NA,NA,NA
59,NA,NA,NA,NA
NA,NA,NA,NA,6
52,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,4
61,Woman,NA,Not Selected,NA
27,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
70,Woman,NA,Not Selected,NA
74,NA,NA,NA,NA
55,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,7
58,Woman,NA,Not Selected,NA
71,Woman,Not Selected,Not Selected,7
NA,NA,NA,NA,7
NA,NA,NA,NA,7
55,Woman,NA,Not Selected,NA
63,Woman,Not Selected,Not Selected,4
30,NA,NA,NA,NA
27,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
27,NA,NA,NA,NA
35,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
52,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
45,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
56,NA,NA,NA,NA
55,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
20,Woman,Not Selected,Not Selected,6
25,Woman,NA,Not Selected,NA
40,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
58,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
46,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
60,Woman,NA,Not Selected,NA
55,Woman,NA,Not Selected,NA
40,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
57,NA,NA,NA,NA
34,Woman,Not Selected,Not Selected,5
69,Woman,Not Selected,Not Selected,6
51,Man,NA,Not Selected,NA
29,Man,NA,Not Selected,NA
74,Woman,NA,Not Selected,NA
68,Woman,NA,Not Selected,NA
33,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
73,Woman,Not Selected,Not Selected,6
30,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
65,NA,NA,NA,NA
25,Man,NA,Not Selected,NA
21,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
79,NA,NA,NA,NA
24,Woman,Not Selected,Not Selected,4
38,NA,NA,NA,NA
62,Woman,Not Selected,Not Selected,4
34,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
50,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,7
55,NA,NA,NA,NA
38,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
71,Woman,NA,Not Selected,NA
27,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
67,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,Woman,NA,Not Selected,NA
39,NA,NA,NA,NA
81,Woman,NA,Not Selected,NA
28,NA,NA,NA,NA
59,Woman,NA,Not Selected,NA
60,Woman,Not Selected,Not Selected,4
48,Woman,Not Selected,Not Selected,5
NA,NA,NA,NA,NA
49,Woman,NA,Not Selected,NA
41,Man,Not Selected,Not Selected,6
69,Woman,NA,Not Selected,NA
25,Woman,Not Selected,Not Selected,9
47,NA,NA,NA,NA
30,Man,NA,Not Selected,NA
34,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
62,Woman,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
74,Woman,NA,Not Selected,NA
47,NA,NA,NA,NA
31,Man,NA,Not Selected,NA
NA,NA,NA,NA,6
NA,NA,NA,NA,9
73,Man,Not Selected,Not Selected,8
68,Woman,NA,Not Selected,NA
65,Woman,NA,Not Selected,NA
32,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,4
41,Man,NA,Not Selected,NA
32,Man,Not Selected,Not Selected,6
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
68,NA,NA,NA,NA
24,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
71,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
53,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
32,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
38,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
30,NA,NA,NA,NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
80,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
59,Woman,Not Selected,Not Selected,6
34,Man,NA,Not Selected,NA
54,NA,NA,NA,NA
58,NA,NA,NA,NA
55,Woman,NA,Not Selected,NA
20,NA,NA,NA,NA
25,Woman,NA,Not Selected,NA
36,NA,NA,NA,NA
45,Woman,Not Selected,Not Selected,NA
62,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,6
69,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
28,NA,NA,NA,NA
31,NA,NA,NA,NA
23,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
32,Woman,NA,Not Selected,NA
65,Woman,NA,Not Selected,NA
18,NA,NA,NA,NA
68,NA,NA,NA,NA
33,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
58,Woman,NA,Not Selected,NA
65,NA,NA,NA,NA
57,NA,NA,NA,NA
50,NA,NA,NA,NA
64,Woman,NA,Not Selected,NA
64,Woman,NA,Not Selected,NA
NA,NA,NA,NA,6
25,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
NA,NA,NA,NA,8
27,Woman,Not Selected,Not Selected,5
21,Man,Not Selected,Not Selected,NA
33,NA,NA,NA,NA
59,Woman,NA,Not Selected,NA
21,Woman,Not Selected,Not Selected,5
18,Woman,NA,Not Selected,NA
37,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
77,NA,NA,NA,NA
31,Woman,NA,Not Selected,NA
40,NA,NA,NA,NA
56,Woman,Not Selected,Not Selected,9
NA,NA,NA,NA,9
NA,NA,NA,NA,8
70,Woman,NA,Not Selected,NA
22,Presented but no response,NA,NA,NA
NA,Presented but no response,Presented but no response,Presented but no response,NA
72,Woman,NA,Not Selected,NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
25,Non-binary,NA,Not Selected,NA
24,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
70,Presented but no response,NA,Not Selected,NA
NA,NA,NA,NA,NA
25,NA,NA,NA,NA
69,NA,NA,NA,NA
63,Woman,NA,Not Selected,NA
63,NA,NA,NA,NA
79,NA,NA,NA,NA
26,NA,NA,NA,NA
66,Woman,Not Selected,Not Selected,6
77,NA,NA,NA,NA
54,NA,NA,NA,NA
33,NA,NA,NA,NA
26,Man,Not Selected,Not Selected,NA
32,Man,NA,Not Selected,NA
71,Woman,NA,Not Selected,NA
45,NA,NA,NA,NA
NA,NA,NA,NA,6
58,Woman,NA,Not Selected,NA
31,NA,NA,NA,NA
33,Man,NA,Not Selected,NA
32,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
32,Woman,NA,Not Selected,NA
64,Woman,NA,Not Selected,NA
54,NA,NA,NA,NA
25,Man,NA,Not Selected,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
57,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
31,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
NA,NA,NA,NA,6
NA,NA,NA,NA,6
45,Man,Not Selected,Not Selected,9
46,Woman,NA,Not Selected,NA
NA,NA,NA,NA,9
NA,NA,NA,NA,3
30,Woman,Not Selected,Not Selected,3
48,NA,NA,NA,NA
77,Woman,Not Selected,Not Selected,4
NA,NA,NA,NA,3
35,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
34,Man,Not Selected,Not Selected,6
79,Woman,NA,Not Selected,NA
25,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
78,Man,NA,Not Selected,NA
45,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
NA,NA,NA,NA,3
60,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
70,NA,NA,NA,NA
61,Non-binary,Not Selected,Not Selected,NA
33,Woman,NA,Not Selected,NA
23,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
49,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
62,Woman,NA,Not Selected,NA
26,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
45,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
68,NA,NA,NA,NA
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
48,Woman,NA,Not Selected,NA
36,Woman,Not Selected,Not Selected,6
56,NA,NA,NA,NA
64,Woman,NA,Not Selected,NA
63,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
31,NA,NA,NA,NA
35,Man,Not Selected,Not Selected,NA
23,NA,NA,NA,NA
65,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,6
71,NA,NA,NA,NA
59,Woman,NA,Not Selected,NA
48,NA,NA,NA,NA
25,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
53,Woman,Not Selected,Not Selected,7
80,Man,Not Selected,Not Selected,5
39,Man,Not Selected,Not Selected,5
NA,NA,NA,NA,7
NA,NA,NA,NA,6
73,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
18,Man,NA,Not Selected,NA
23,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
63,Woman,NA,NA,NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
38,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
31,Man,Not Selected,Not Selected,4
61,Woman,NA,Not Selected,NA
35,Woman,Not Selected,Not Selected,6
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
60,Man,NA,Not Selected,NA
23,Woman,Not Selected,Not Selected,4
24,Man,NA,Not Selected,NA
53,Man,NA,Not Selected,NA
61,NA,NA,NA,NA
27,Woman,Not Selected,Not Selected,6
50,Woman,NA,Not Selected,NA
54,Woman,Not Selected,Not Selected,5
39,NA,NA,NA,NA
25,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
50,NA,NA,NA,NA
35,Woman,Not Selected,Not Selected,NA
60,Woman,NA,Not Selected,NA
61,NA,NA,NA,NA
62,Woman,NA,Not Selected,NA
25,Woman,Not Selected,Not Selected,3
33,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
18,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)","Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
86,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
39,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
91,Woman,NA,Not Selected,NA
29,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,NA
NA,NA,NA,NA,5
NA,NA,NA,NA,5
25,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
25,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
58,NA,NA,NA,NA
23,NA,NA,NA,NA
21,Woman,NA,Not Selected,NA
73,NA,NA,NA,NA
57,Non-binary,Not Selected,Not Selected,3
NA,NA,NA,NA,5
49,Woman,Not Selected,Not Selected,6
57,Woman,NA,Not Selected,NA
69,NA,NA,NA,NA
70,Woman,NA,Not Selected,NA
NA,NA,NA,NA,5
65,Woman,Not Selected,Not Selected,4
69,NA,NA,NA,NA
52,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Man,NA,Not Selected,NA
50,Woman,NA,Not Selected,NA
63,Woman,NA,Not Selected,NA
39,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
NA,NA,NA,NA,NA
NA,NA,NA,NA,8
57,Man,Not Selected,Not Selected,9
NA,NA,NA,NA,9
NA,NA,NA,NA,9
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
34,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
69,NA,NA,NA,NA
36,Man,Not Selected,Not Selected,6
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
71,Man,Not Selected,Not Selected,8
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
69,Woman,NA,Not Selected,NA
27,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
28,Man,NA,Not Selected,NA
62,Woman,NA,Not Selected,NA
60,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,9
NA,NA,NA,NA,3
51,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
28,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
NA,NA,NA,NA,NA
26,Woman,NA,Not Selected,NA
65,NA,NA,NA,NA
36,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
